report_date,release_date,release_time,release_timezone,availability_kind,availability_basis,reason,source_url
2013-10-08,2013-10-28,15:30,America/New_York,verified_release,cftc_official_shutdown_catch_up_verified,2013 federal shutdown catch-up release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf100813.htm
2013-10-15,2013-10-30,15:30,America/New_York,verified_release,cftc_official_shutdown_catch_up_verified,2013 federal shutdown catch-up release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf101513.htm
2013-10-22,2013-11-01,15:30,America/New_York,verified_release,cftc_official_shutdown_catch_up_verified,2013 federal shutdown catch-up release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf102213.htm
2013-10-29,2013-11-06,15:30,America/New_York,verified_release,cftc_official_shutdown_catch_up_verified,2013 federal shutdown catch-up release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf102913.htm
2013-11-26,2013-12-02,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf112613.htm
2013-12-24,2013-12-30,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2013/futures/ag_sf122413.htm
2013-12-31,2014-01-06,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2014/futures/ag_sf123113.htm
2014-07-01,2014-07-04,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,identical report was inadvertently published before its intended July 7 date,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2014/futures/ag_sf070114.htm
2014-11-25,2014-11-29,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,official weekly page records an unusual Saturday Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2014/futures/ag_sf112914.htm
2014-12-23,2014-12-30,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,December 25-26 federal-holiday delay verified from official weekly page,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2014/futures/ag_sf122314.htm
2015-06-30,2015-07-06,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,complete report followed a premature incomplete July 3 publication,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2015/futures/ag_sf063015.htm
2015-11-24,2015-11-30,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,holiday-delayed release verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2015/futures/ag_sf112415.htm
2018-12-04,2018-12-10,15:30,America/New_York,verified_release,cftc_official_historical_release_verified,National Day of Mourning delay verified from official weekly page Updated footer,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2018/futures/ag_sf120418.htm
2018-12-24,2019-02-01,15:30,America/New_York,verified_release,cftc_official_shutdown_catch_up_verified,2018-19 lapse-in-appropriations catch-up release,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2018/futures/ag_sf122418.htm
2018-12-31,2019-02-05,15:30,America/New_York,verified_release,cftc_official_shutdown_catch_up_verified,2018-19 lapse-in-appropriations catch-up release,https://www.cftc.gov/sites/default/files/files/dea/cotarchives/2018/futures/ag_sf123118.htm
