"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"671","May 2026","U.S. Sugar Supply and Use","Production","","Sugar","United States","2025/26","Est.","Annual","9239.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Stocks to Use Ratio","","Sugar","United States","2025/26","Est.","Annual","16.10","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Texas","","Sugar","United States","2025/26","Est.","Annual",".00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Total Supply","","Sugar","United States","2025/26","Est.","Annual","14381.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Total Use","","Sugar","United States","2025/26","Est.","Annual","12389.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","TRQ","","Sugar","United States","2025/26","Est.","Annual","1316.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Beet Sugar","","Sugar","United States","2026/27","Proj.","Annual","4722.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Beginning Stocks","","Sugar","United States","2026/27","Proj.","Annual","1992.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Cane Sugar","","Sugar","United States","2026/27","Proj.","Annual","4088.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
"671","May 2026","U.S. Sugar Supply and Use","Deliveries","","Sugar","United States","2026/27","Proj.","Annual","12364.00","1000 Short Tons, Raw Value","2026-05-13","12:00:00.0000000","2026","5"
